順位,スコア,子会社コード,子会社名,市場,時価総額(億円),PBR,親会社,親会社コード,持株比率(%),少数株主分の買収費用(億円),親時価総額比,親の解消実績(件),スコアの根拠
151,0,1934,ユアテック,プライム,1814.7,1.17,東北電力,9506,39.19,1103.5,0.16,0,
152,0,9434,ソフトバンク,プライム,118675.5,4.08,ソフトバンクグループ,9984,39.92,71300.2,0.198,0,
153,0,4812,電通総研,プライム,5601.7,5.31,電通グループ,4324,61.76,2142.1,0.23,0,
154,0,5838,楽天銀行,プライム,10776.0,2.74,楽天グループ,4755,49.26,5467.7,0.354,0,
155,0,6368,オルガノ,プライム,5699.5,4.02,東ソー,4042,44.28,3175.8,0.397,0,
156,0,3484,イノベーションホールディングス,スタンダード,206.3,4.45,クロップス,9428,59.72,83.1,0.597,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の40%超(資金面で重い)
157,0,4816,東映アニメーション,スタンダード,6117.1,3.63,東映,9605,34.32,4017.7,1.063,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の40%超(資金面で重い)
158,0,4765,ＳＢＩグローバルアセットマネジメント,プライム,867.0,2.69,ＳＢＩホールディングス,8473,,,,0,
159,-1,4270,ＢｅｅＸ,グロース,42.7,1.39,テラスカイ,3915,62.84,15.9,0.053,0,グロース市場(解消は稀) / 買収費用が親の時価総額の15%未満
160,-1,3929,ソーシャルワイヤー,グロース,28.6,1.59,ジーニー,6562,49.0,14.6,0.119,0,グロース市場(解消は稀) / 買収費用が親の時価総額の15%未満
161,-1,4091,日本酸素ホールディングス,プライム,23768.0,1.88,三菱ケミカルグループ,4188,50.59,11743.8,0.727,0,買収費用が親の時価総額の40%超(資金面で重い) / 辛うじて過半数(解消ケースの最頻帯)
162,-2,1941,中電工,プライム,2726.5,1.08,中国電力,9504,41.35,1599.1,0.41,0,買収費用が親の時価総額の40%超(資金面で重い)
163,-2,1959,クラフティア,プライム,5720.3,1.65,九州電力,9508,22.55,4430.4,0.44,0,買収費用が親の時価総額の40%超(資金面で重い)
164,-2,5016,ＪＸ金属,プライム,31937.1,5.2,ＥＮＥＯＳホールディングス,5020,35.27,20672.9,0.544,0,買収費用が親の時価総額の40%超(資金面で重い)
165,-2,1942,関電工,プライム,11031.3,2.86,東京電力ホールディングス,9501,34.46,7229.9,0.821,0,買収費用が親の時価総額の40%超(資金面で重い)
166,-2,7182,ゆうちょ銀行,プライム,116263.2,1.26,日本郵政,6178,49.87,58282.7,0.843,0,買収費用が親の時価総額の40%超(資金面で重い)
167,-2,3769,ＧＭＯペイメントゲートウェイ,プライム,6697.4,5.35,ＧＭＯインターネットグループ,9449,40.72,3970.2,1.067,0,買収費用が親の時価総額の40%超(資金面で重い)
168,-2,415A,ＧＭＯ　ＴＥＣＨホールディングス,グロース,86.2,2.42,ＧＭＯインターネットグループ,9449,,,,0,グロース市場(解消は稀)
169,-2,3695,ＧＭＯプロダクトプラットフォーム,グロース,72.1,2.91,ＧＭＯインターネットグループ,9449,,,,0,グロース市場(解消は稀)
170,-2,4394,エクスモーション,グロース,41.4,2.48,ソルクシーズ,4284,,,,0,グロース市場(解消は稀)
171,-4,3976,シャノン,グロース,34.1,2.46,イノベーション,3970,56.71,14.8,0.664,0,グロース市場(解消は稀) / 買収費用が親の時価総額の40%超(資金面で重い)
