順位,スコア,子会社コード,子会社名,市場,時価総額(億円),PBR,親会社,親会社コード,持株比率(%),少数株主分の買収費用(億円),親時価総額比,親の解消実績(件),スコアの根拠
79,4,4293,セプテーニ・ホールディングス,スタンダード,1049.7,1.58,電通グループ,4324,52.48,498.8,0.054,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
80,4,8891,ＡＭＧホールディングス,スタンダード,58.9,0.48,ＶＴホールディングス,7593,43.49,33.3,0.056,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / PBR1倍割れ
81,4,9160,オンザページ,スタンダード,127.2,0.92,ＴＫＰ,3479,57.74,53.8,0.078,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / PBR1倍割れ
82,4,4107,伊勢化学工業,スタンダード,1977.2,4.71,ＡＧＣ,5201,52.83,932.6,0.078,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
83,4,3969,エイトレッド,スタンダード,105.0,1.86,ソフトクリエイトホールディングス,3371,51.29,51.1,0.092,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
84,4,8060,キヤノンマーケティングジャパン,プライム,7595.6,1.95,キヤノン,7751,51.96,3648.9,0.097,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
85,4,6902,デンソー,プライム,48011.7,0.94,トヨタ自動車,7203,22.24,37333.9,0.104,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の15%未満 / PBR1倍割れ
86,4,9445,フォーバルテレコム,スタンダード,92.5,2.41,フォーバル,8275,70.15,27.6,0.105,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満 / 2/3超保有(少数株主が僅少)
87,4,4506,住友ファーマ,プライム,7220.1,1.77,住友化学,4005,51.76,3483.0,0.363,2,親会社が直近3年で2社を解消済み / 辛うじて過半数(解消ケースの最頻帯)
88,3,4326,インテージホールディングス,プライム,765.5,2.25,ＮＴＴ,9432,50.95,375.5,0.003,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
89,3,4714,リソー教育グループ,プライム,362.7,3.49,ヒューリック,3003,51.01,177.7,0.013,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
90,3,8425,みずほリース,プライム,3827.4,0.85,みずほフィナンシャルグループ,8411,23.09,2943.7,0.014,0,買収費用が親の時価総額の5%未満 / PBR1倍割れ
91,3,4847,インテリジェント　ウェイブ,プライム,400.6,3.98,大日本印刷,7912,50.73,197.4,0.016,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
92,3,1429,日本アクア,プライム,256.3,2.27,ヤマダホールディングス,9831,54.95,115.5,0.024,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
93,3,8892,エスコン,プライム,1067.2,1.3,中部電力,9502,50.3,530.4,0.024,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
94,3,1871,ピーエス・コンストラクション,プライム,1021.1,1.59,大成建設,1801,50.2,508.5,0.025,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
95,3,8014,蝶理,プライム,1047.4,1.0,東レ,3402,52.33,499.3,0.027,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
96,3,3788,ＧＭＯグローバルサイン・ホールディングス,プライム,231.3,2.24,ＧＭＯインターネットグループ,9449,51.97,111.1,0.03,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
97,3,2211,不二家,プライム,652.1,1.09,山崎製パン,2212,54.3,298.0,0.041,0,買収費用が親の時価総額の5%未満 / 辛うじて過半数(解消ケースの最頻帯)
98,3,4784,ＧＭＯインターネット,プライム,1642.9,4.82,ＧＭＯインターネットグループ,9449,90.59,154.6,0.042,0,買収費用が親の時価総額の5%未満 / 2/3超保有(少数株主が僅少)
99,3,7115,アルファパーチェス,スタンダード,146.5,2.12,アスクル,2678,61.43,56.5,0.051,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満
100,3,5753,日本伸銅,スタンダード,55.3,1.27,ＣＫサンエツ,5757,55.4,24.7,0.06,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満
101,3,8254,さいか屋,スタンダード,19.0,1.32,ＡＦＣ−ＨＤアムスライフサイエンス,2927,37.08,12.0,0.097,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満
102,3,4689,ＬＩＮＥヤフー,プライム,36821.8,1.23,ソフトバンク,9434,62.4,13845.0,0.117,1,親会社が直近3年で1社を解消済み / 買収費用が親の時価総額の15%未満
103,3,7177,ＧＭＯフィナンシャルホールディングス,スタンダード,1395.8,4.54,ＧＭＯインターネットグループ,9449,65.73,478.3,0.128,0,スタンダード市場(解消の約6割) / 買収費用が親の時価総額の15%未満
104,3,9216,ビーウィズ,プライム,244.4,2.81,パソナグループ,2168,54.61,110.9,0.191,1,親会社が直近3年で1社を解消済み / 辛うじて過半数(解消ケースの最頻帯)
105,2,7036,イーエムネットジャパン,グロース,25.8,3.06,ソフトバンク,9434,40.91,15.2,0.0,1,親会社が直近3年で1社を解消済み / グロース市場(解消は稀) / 買収費用が親の時価総額の5%未満
106,2,4498,サイバートラスト,グロース,192.3,2.56,ソフトバンク,9434,56.44,83.8,0.001,1,親会社が直近3年で1社を解消済み / グロース市場(解消は稀) / 買収費用が親の時価総額の5%未満
107,2,7198,ＳＢＩアルヒ,プライム,373.4,1.05,ＳＢＩホールディングス,8473,62.47,140.1,0.007,0,買収費用が親の時価総額の5%未満
108,2,2678,アスクル,プライム,1112.9,2.33,ＬＩＮＥヤフー,4689,46.89,591.1,0.016,0,買収費用が親の時価総額の5%未満
109,2,6099,エラン,プライム,443.9,2.89,エムスリー,2413,55.02,199.7,0.017,0,買収費用が親の時価総額の5%未満
110,2,7774,ジャパン・ティッシュエンジニアリング,グロース,344.4,6.7,帝人,3401,57.71,145.6,0.045,1,親会社が直近3年で1社を解消済み / グロース市場(解消は稀) / 買収費用が親の時価総額の5%未満
111,2,7942,ＪＳＰ,プライム,777.6,0.7,三菱瓦斯化学,4182,47.74,406.4,0.055,0,買収費用が親の時価総額の15%未満 / PBR1倍割れ
112,2,4483,ＪＭＤＣ,プライム,2336.3,2.81,オムロン,6645,54.19,1070.3,0.088,0,買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
113,2,1930,北陸電気工事,プライム,442.2,0.96,北陸電力,9505,49.38,223.8,0.093,0,買収費用が親の時価総額の15%未満 / PBR1倍割れ
114,2,4997,日本農薬,プライム,919.5,1.64,ＡＤＥＫＡ,4401,51.0,450.6,0.102,0,買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
115,2,3092,ＺＯＺＯ,プライム,10116.0,10.39,ＬＩＮＥヤフー,4689,51.9,4865.8,0.132,0,買収費用が親の時価総額の15%未満 / 辛うじて過半数(解消ケースの最頻帯)
116,2,7181,かんぽ生命保険,プライム,19500.7,0.42,日本郵政,6178,49.75,9799.1,0.142,0,買収費用が親の時価総額の15%未満 / PBR1倍割れ
